;name;SMILES;category;genotoxicity;carcinogenicity;mutagenicity
11;Griseofulvin, (2,4-dinitrophenyl)hydrazone;COC1=CC(=NNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O;griseofulvins;1;1;1
12;Cytochalasin H;C=C1[C@@H](O)[C@@H]2C=CC[C@H](C)C[C@@](C)(O)/C=C/[C@@H](OC(C)=O)[C@]23C(=O)N[C@@H](Cc2ccccc2)[C@@H]3[C@@H]1C;cytochalasan alkaloids;0;0;1
13;asterriquinone C1(1-);C=CC(C)(C)c1[nH]c2ccccc2c1C1=C([O-])C(=O)C(c2c[nH]c3ccccc23)=C(O)C1=O;asterriquinones ;1;1;1
14;Zearalenone-14-O-|A-glucoside-13C6;C[C@H]1CCCC(=O)CCC/C=C/c2cc(O[13CH]3O[13CH]([13CH2]O)[13C@@H](O)[13C@H](O)[13CH]3O)cc(O)c2C(=O)O1;zearalenones;1;0;0
15;Chaetoglobosin C;C/C1=C/[C@H](C)C/C=C\C2C3O[C@]3(C)C(C)C3[C@H](Cc4c[nH]c5ccccc45)NC(=O)C23C(=O)CCC(=O)C1=O;cytochalasan alkaloids;1;1;1
16;Resveratrol 3,5-diglucuronide-d4;[2H]c1c([2H])c(/C=C/c2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c2)c([2H])c([2H])c1O;resveratrols;1;0;1
17;Geodin;COC(=O)C1=CC(=O)C=C(OC)[C@]12Oc1c(Cl)c(C)c(Cl)c(O)c1C2=O;griseofulvins;1;1;1
18;Geodin;COC(=O)C1=CC(=O)C=C(OC)[C@]12Oc1c(Cl)c(C)c(Cl)c(O)c1C2=O;griseofulvins;1;1;1
19;5-BROMO-2'-DEOXYURIDINE;O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br;nucleotides;1;0;0
20;5-BROMO-2'-DEOXYURIDINE;O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br;nucleotides;1;0;0
21;Cytochalasin H;C=C1[C@@H](O)[C@@H]2/C=C/C[C@H](C)C[C@@](C)(O)C=C[C@@H](OC(C)=O)[C@]23C(=O)N[C@@H](Cc2ccccc2)[C@@H]3[C@@H]1C;cytochalasan alkaloids;0;0;1
22;Lovastatin Diol Lactone 4-tert-Butyldimethylsilyl Ether;C[C@@H]1C=CC2=C[C@H](C)C[C@H](O)[C@H]2[C@@H]1CC[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O1;lovastatins;1;0;1
23;cis Resveratrol 3-O-|A-D-Glucuronide (contains up to 15% trans isomer);O=C(O)[C@H]1OC(Oc2ccc(/C=C\c3ccc(O)cc3)cc2O)[C@H](O)[C@@H](O)[C@@H]1O;resveratrols;1;0;1
24;cis Resveratrol 4 inverted exclamation mark-O-|A-D-Glucuronide;O=C(O)[C@H]1OC(Oc2ccc(/C=C\c3cc(O)cc(O)c3)cc2)[C@H](O)[C@@H](O)[C@@H]1O;resveratrols;1;0;1
25;trans-Resveratrol 4 inverted exclamation mark-O-|A-D-Glucuronide;O=C(O)[C@@H]1OC(Oc2ccc(/C=C/c3cc(O)cc(O)c3)cc2)[C@@H](O)[C@H](O)[C@H]1O;resveratrols;1;0;1
26;Roquefortine N;C=CC(C)(C)C1(CC(N)C(=O)N/C(=C/c2cnc[nH]2)C(=O)O)C(=O)N(O)c2ccccc21;roquefortines;1;0;0
27;Rugulosin + form;Cc1cc(O)c2c(c1)C(=O)[C@]13C(=C2O)C(=O)[C@@H]2[C@@H](O)[C@H]1[C@@H]1[C@@H](O)[C@H]3C(=O)C3=C(O)c4c(O)cc(C)cc4C(=O)[C@@]321;rugulosins;1;1;1
28;Resveratrol 3-O-beta-D-glucuronide-d4;[2H]c1c([2H])c(/C=C/c2cc(O)cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c2)c([2H])c([2H])c1O;resveratrols;1;0;1
29;Citrinin-d6;[2H]C([2H])([2H])C1=C2C(=CO[C@H](C)[C@H]2C([2H])([2H])[2H])C(=O)C(C(=O)O)=C1O;chromanes;1;1;1
30;Epi Lovastatin Hydroxy Acid-d3 (sodium salt);[2H]C([2H])([2H])[C@H](CC)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21;lovastatins;0;0;0
31;Lovastatin-d3 hydroxy acid (sodium);[2H]C([2H])([2H])C(CC)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21;lovastatins;0;0;0
32;Cyclosporin A;C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C;cyclosporins;1;0;1
33;ent-Aspertetronin B;CC/C=C/C=C/[C@@]1(C)OC(C[C@@H](C)O)=C(C(=O)OC)C1=O;gregatins;1;1;0
34;Gregatin A;C/C=C/C1=C(C(=O)OC)C(=O)[C@@](C)(/C=C/C=C/CC)O1;gregatins;1;1;0
35;Aspertetronin B;CC/C=C/C=C/[C@]1(C)OC(C[C@H](C)O)=C(C(=O)OC)C1=O;furans;1;1;0
36;Aspertetronin-a;C/C=C/C1=C(C(=O)OC)C(=O)[C@](C)(/C=C/C=C/CC)O1;gregatins;1;1;0
37;Patulin-4-bromothiophenol hapten;O=C(O)CCNC(=O)C/C(=C/Sc1ccc(Br)cc1)C(=O)C(CO)Sc1ccc(Br)cc1;patulins;1;0;0
38;Patulin-4-bromothiophenol adduct;O=C(O)C/C(=C/Sc1ccc(Br)cc1)C(=O)C(CO)Sc1ccc(Br)cc1;patulins;1;0;0
39;4a-(N-(3-Methoxy-3-oxopropyl)glycine)-4b-(N-(3-methoxy-3-oxopropyl)glycine)-actinomycin D;COC(=O)CCN1CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C)[C@H](NC(=O)c2c3nc4c(C(=O)N[C@@H]5C(=O)N[C@H](C(C)C)C(=O)N6CCC[C@H]6C(=O)N(CCC(=O)OC)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]5C)ccc(C)c4oc-3c(C)c(=O)c2N)C(=O)N[C@H](C(C)C)C(=O)N2CCC[C@H]2C1=O;actinomycins;1;1;1
40;Agistatin B;CC[C@@H]1CCC2O[C@@H]3C[C@H](O)C2(O)C1O3;not classified;1;1;1
41;Fumonisin B2 13C34;[13CH3][13CH2][13CH2][13CH2][13C@H]([13CH3])[13C@@H](O[13C](=O)[13CH2][13C@@H]([13CH2][13C](=O)O)[13C](=O)O)[13C@@H]([13CH2][13C@H]([13CH3])[13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13C@@H](O)[13CH2][13C@@H](O)[13C@@H]([13CH3])N)O[13C](=O)[13CH2][13C@@H]([13CH2][13C](=O)O)[13C](=O)O;fumonisins;1;0;0
42;d4-resveratrol;[2H]C(=Cc1ccc(O)cc1)c1c([2H])c(O)c([2H])c(O)c1[2H];resveratrols;1;1;1
43;mytoxin B;CC(=O)[C@]12CC/C=C/C(=O)O[C@@H]3C[C@H]4O[C@@H]5C=C(C)CC[C@]5(COC(=O)/C=C(/CCO1)[C@H]2O)[C@]3(C)[C@]41CO1;trichothecenes;1;1;1
44;CYTOCHALASIN H;C=C1[C@@H](O)[C@@H]2/C=C/CC(C)C[C@](C)(O)/C=C/[C@@H](OC(C)=O)C23C(=O)N[C@@H](Cc2ccccc2)[C@@H]3[C@@H]1C;cytochalasan alkaloids;0;0;1
45;Actinomycin D, Antibiotic for Culture Media Use Only;Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O;actinomycins;0;1;1
46;Satratoxin H;CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C/[C@]5([C@H](C)O)OCC/C(=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1)[C@H]5O;trichothecenes;1;1;1
47;RUGULOSIN;Cc1cc(O)c2c(c1)C(=O)C13C(=C2O)C(=O)[C@H]2[C@@H](O)[C@@H]1[C@H]1[C@H](O)[C@@H]3C(=O)C3=C(O)c4c(O)cc(C)cc4C(=O)[C@]321;rugulosins;1;1;1
48;Paraherquamide A;CN1C(=O)[C@]23C[C@@H]4C1(CN2CC[C@@]3(C)O)C[C@@]1(C(=O)Nc2c1ccc1c2OC=CC(C)(C)O1)C4(C)C;penicillins;1;1;0
49;Aloe Emodin 8-Glucoside;O=C1c2cc(CO)cc(O)c2C(=O)c2c(O[C@@H]3OC(CO)[C@@H](O)C(O)C3O)cccc21;emodins;1;0;1
50;Fusidic acid acyl glucuronide;CC(=O)O[C@H]1C[C@@]2(C)[C@H](C[C@H](O)[C@H]3[C@@]4(C)CC[C@H](O)[C@H](C)[C@H]4CC[C@]32C)/C1=C(\CCC=C(C)C)C(=O)O[C@@H]1OC(C(=O)O)[C@@H](O)C(O)C1O;fusidic acids;1;0;1
51;Roridin D;CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C\C(C(C)O)OCC[C@]5(C)O[C@@H]5C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1;trichothecenes;1;1;1
52;Crotocin;C/C=C\C(=O)O[C@@H]1C[C@H]2O[C@@H]3C=C(C)[C@@H]4O[C@@H]4[C@]3(C)[C@]1(C)[C@@]21CO1;trichothecenes;1;1;1
53;Pyrenocine F;C/C=C\Cc1c(OC)cc(=O)oc1C;pyrenocines;1;1;0
54;ACTG-toxin H;C/C(C=O)=C\CCC(C)C1=CC[C@@]2(C)OC3=C(C[C@@H]12)C(=O)C(O)CC3;alternariolides;1;1;1
55;Decarestrictine C2;C[C@@H]1CC[C@H](O)C=C[C@H](O)CC(=O)O1;decarestrictines;1;0;1
56;Decarestrictine C1;C[C@@H]1CC[C@H](O)C=C[C@@H](O)CC(=O)O1;decarestrictines;1;0;1
57;(7S,11S)-(+)-12-Hydroxysydonic acid;CC(CO)CCC[C@@](C)(O)c1ccc(C(=O)O)cc1O;terpenoids;1;0;0
58;Fumigaclavine F;C=CC(C)(C)c1[nH]c2cccc3c2c1C[C@@H]1[C@H]3[C@H](O)[C@@H](C)CN1C;ergot alkaloids;1;1;1
59;Fumigaclavine E;C=CC(C)(C)c1[nH]c2cccc3c2c1C[C@@H]1[C@@H]3[C@@H](O)[C@H](C)CN1C;ergot alkaloids;1;1;1
60;Fumigaclavine D;C=CC(C)(C)c1[nH]c2cccc3c2c1C[C@H]1NC[C@@H](C)[C@H](OC(C)=O)[C@H]31;ergot alkaloids;1;1;0
61;(+/-)-8-epihydroxy-brevianamide R;C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\NC(=O)[C@]2(OC)[C@@H](O)CCN2C1=O;brevianamides;1;1;0
62;(+/-)-7,8-epoxy-brevianamide Q;C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\NC(=O)[C@@]2(O)[C@H]3O[C@H]3CN2C1=O;brevianamides;1;1;1
63;(-)-brevianamide X;C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\NC(=O)[C@]2(O)[C@H](O)CCN2C1=O;brevianamides;1;1;1
64;(+)-brevianamide X;C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\NC(=O)[C@@]2(O)[C@@H](O)CCN2C1=O;brevianamides;1;1;1
65;5a,6-anhydrobisdethiobis(methylthio)gliotoxin;CS[C@]1(CO)C(=O)N2c3ccccc3C[C@@]2(SC)C(=O)N1C;ETPs;1;1;0
66;Reduced gliotoxin;CN1C(=O)C2(S)CC3=CC=CC(O)C3N2C(=O)C1(S)CO;ETPs;1;0;0
67;Similanpyrone A;Cc1cc2cc3oc(=O)ccc3c(O)c2c(=O)o1;pyrones;1;1;0
68;Aspulvinone S;CC(C)=CCc1cc(C2=C(O)C(=Cc3ccc4c(c3)CCC(C)(C)O4)OC2=O)c(O)cc1O;aspulvinones;1;1;1
69;tryptoquivaline X;COC(=O)[C@H](C[C@@]1(O)c2ccccc2N2C(=O)C(C)(C)N(O)[C@@H]21)n1c([C@H](O)C(C)C)nc2ccccc2c1=O;fumitremorgins;1;1;1
70;tryptoquivaline W;CC(C)[C@@H](O)c1nc2ccccc2c(=O)n1[C@@H](C[C@@]1(O)c2ccccc2N2C(=O)C(C)(C)N(O)[C@@H]21)C(=O)O;fumitremorgins;1;1;1
71;11-deacetyl pyripyropene A;CC(=O)O[C@H]1C[C@@H]2[C@](C)(CC[C@H](OC(C)=O)[C@@]2(C)CO)[C@H]2[C@@H](O)c3c(cc(-c4cccnc4)oc3=O)O[C@]12C;pyropenes;1;1;1
72;10,11-dihydroxy-citreoviridin;COc1cc(=O)oc(C=CC=C[C@H](O)[C@H](O)C(C)=C[C@]2(C)O[C@H](C)[C@](C)(O)[C@H]2O)c1C;viridins;1;0;0
73;Koninginin U;CCC[C@]1(O)CCC2=C(CCCC2=O)O1;koninginins;1;1;0
74;Koninginin T;CC=C(C)C(=O)O[C@H]1CCC[C@@H]2[C@@H](O)[C@H](O)[C@@H](CCC)O[C@]12O;koninginins;1;0;0
75;Sterigmatocystin C;CCCCO[C@@H]1C[C@H]2c3c(cc(OC)c4c(=O)c5c(O)cccc5oc34)O[C@H]2O1;sterigmatocystins;1;1;1
76;Sterigmatocystin B;CCCCO[C@H]1C[C@H]2c3c(cc(OC)c4c(=O)c5c(O)cccc5oc34)O[C@H]2O1;sterigmatocystins;1;1;1
77;Sterigmatocystin A;COc1cc2c(c3oc4cccc(O)c4c(=O)c13)[C@H]1C[C@@H](O2)O[C@H]1OC;sterigmatocystins;1;1;1
78;Asperfuran A;COC(=O)c1ccc(/C(C)=C/CO)o1;furans;1;0;0
79;Chevalone G;Cc1cc2c(c(=O)o1)C[C@]1(C)[C@H](CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]31C)O2;chevalones;0;1;1
80;Beauvericin K;CC(C)C[C@@H]1C(=O)O[C@@H](C(C)C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)O[C@@H](C(C)C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)O[C@@H](C(C)C)C(=O)N1C;beauvericins;0;1;1
81;Asterriquinone K;C=CC(C)(C)c1[nH]c2ccccc2c1C1=C(OC)C(=O)C(c2c[nH]c3c(CC(OC)C(C)(C)O)cccc23)=C(OC)C1=O;asterriquinones ;1;1;1
82;Asterriquinone J;C=CC(C)(C)c1[nH]c2ccccc2c1C1=C(OC)C(=O)C(c2c[nH]c3c(CC(O)C(C)(C)Cl)cccc23)=C(OC)C1=O;asterriquinones ;1;1;1
83;Asterriquinone I;C=CC(C)(C)c1[nH]c2ccccc2c1C1=C(OC)C(=O)C(c2c[nH]c3c(C[C@@H](O)C(=C)C)cccc23)=C(OC)C1=O;asterriquinones ;1;1;1
84;Alterporriol Z1;COc1c(-c2cc(O)c3c(c2OC)C(=O)c2cc(C)c(O)cc2C3=O)cc(O)c2c1C(=O)C1=C(C2=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@H]1O;alterporriols;1;0;1
85;Alterporriol Z3;COc1cc(O)c2c(c1-c1c(O)c(C)cc3c1C(=O)c1c(O)cc(O)cc1C3=O)C(=O)C1=C(C2=O)[C@@H](OC)[C@@H](O)[C@@](C)(O)[C@H]1O;alterporriols;1;0;1
86;Emestrin M;CS[C@@]1(Cc2ccccc2O)NC(=O)[C@]2(SC)CC3=COC=C[C@H](O)[C@H]3N2C1=O;emestrins;1;0;0
87;Emestrin L;CS[C@@]1(Cc2ccccc2O)NC(=O)[C@]2(SC)CC3=COC=C[C@H](OC(C)=O)[C@H]3N2C1=O;emestrins;1;1;0
88;Altertoxin XII;O=C1CC[C@H](O)c2c([C@@H]3CC=Cc4c(O)cccc43)ccc(O)c21;altertoxins;1;0;1
89;Altertoxin XI;CO[C@@H]1CCc2c3c4c(c(O)ccc4c4cccc1c24)CCC3;altertoxins;1;0;1
90;Altertoxin X;Oc1ccc2c3c1CCCc3c1c3c(cccc32)[C@@H](O)CC1;altertoxins;1;0;1
91;Altertoxin IX;Oc1ccc2c3c1CCCc3c1c3c(cccc32)[C@H](O)CC1;altertoxins;1;0;1
92;Altertoxin VIII;O=C1CCc2c3c4c(cccc4c4ccc(O)c1c24)[C@H](O)CC3;altertoxins;1;1;1
93;(R)-pyrenocine B;COc1cc(=O)oc(C)c1C(=O)C[C@@H](C)O;pyrenocines;0;1;0
94;Aspewentin M;C=C[C@@]1(C)CCC2=C(C(=O)C=C3C(C)(C)CCC[C@@]32O)[C@H]1OC;aspewentins;1;1;1
95;Aspewentin L;C=C[C@@]1(C)CCC2=C(C(=O)C=C3C(C)(C)CCC[C@@]32O)[C@@H]1O;aspewentins;1;1;1
96;Aspewentin K;C=C[C@@]1(C)CCC2=C(C(=O)C=C3C(C)(C)CCC[C@@]32O)[C@H]1O;aspewentins;1;1;1
97;Aspewentin J;C=C[C@@]1(C)CCC2=C(C(=O)C=C3C(C)(C)CCC[C@]32O)[C@H]1O;aspewentins;1;1;1
98;Aspewentin I;C=C[C@@]1(C)CCC2=C(C(=O)C=C3C(C)(C)CCC[C@]32O)[C@@H]1O;aspewentins;1;1;1
99;4'-dehydroxy aspernolide A;COC(=O)[C@]1(Cc2ccc3c(c2)CCC(C)(C)O3)OC(=O)C(O)=C1c1ccccc1;aspernolides;1;1;1
100;Neo-actinomycin B;Cc1nc2c(C(=O)N[C@@H]3C(=O)N[C@H](C(C)C)C(=O)N4CCC[C@H]4C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]3C)c3c(c(C)c2o1)Oc1c(C)ccc(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N4CCC[C@H]4C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c1N3;actinomycins;0;1;0
101;Neo-actinomycin A;Cc1ccc(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c2c1Oc1c(c(C(=O)N[C@@H]3C(=O)N[C@H](C(C)C)C(=O)N4CCC[C@H]4C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]3C)c3nc(CCC(=O)O)oc3c1C)N2;actinomycins;0;1;0
102;R-(-)-mellein-8-O-beta-D-glucopyranoside;C[C@@H]1Cc2c(O)ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2C(=O)O1;melleins;1;0;1
103;Terremide D;COC(=O)c1ccc(OC)c(OC)c1NC(=O)c1ccccc1NC(=O)c1cccnc1;fumitremorgins;1;1;1
104;tryptoquivaline T;CC1(C)C(=O)N2c3ccccc3[C@@]3(C[C@@H](n4cnc5ccccc5c4=O)C(=O)O3)[C@@H]2N1C=O;fumitremorgins;1;1;1
105;Gregatin G2;CCCC1=C(C(=O)OC)C(=O)[C@@](C)(/C=C/C=C/[C@H](C)O)O1;gregatins;1;1;0
106;Gregatin G1;CCCC1=C(C(=O)OC)C(=O)[C@@](C)(/C=C/C=C/[C@@H](C)O)O1;gregatins;1;1;0
107;Gregatin F2;CCCC1=C(C(=O)OC)C(=O)[C@@](C)(/C=C/CC[C@H](C)O)O1;gregatins;1;1;1
108;Gregatin F1;CCCC1=C(C(=O)OC)C(=O)[C@@](C)(/C=C/CC[C@@H](C)O)O1;gregatins;1;1;1
109;Trichothecrotocin G;COC(=O)[C@@H]1O[C@@H](O)C(=O)[C@]2([C@H](O)C=C(C)C=CC=C(CO)CCC=C(C)C)O[C@H]12;trichothecenes;1;0;0
110;Trichothecrotocin F;COC(=O)[C@@H]1O[C@@H](O)C(=O)[C@]2([C@H](O)C=C(C)C=CC=O)O[C@H]12;trichothecenes;1;0;1
111;Trichothecrotocin E;COC(=O)[C@@H]1O[C@@H](O)C(=O)[C@]2([C@H](O)/C=C(/C)[C@@H]3OC(C)(C)[C@H]4CCC(C)=C[C@H]43)O[C@H]12;trichothecenes;1;1;1
112;(+/-)-8-hydroxy-brevianamide R;C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\NC(=O)[C@]2(OC)[C@H](O)CCN2C1=O;brevianamides;1;1;0
113;(+/-)-7,8-epoxy-brevianamide Q;C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\NC(=O)[C@]2(O)[C@@H]3O[C@@H]3CN2C1=O;brevianamides;1;1;1
114;13-Dehydroxyl pyripyropene A;CC(=O)OC[C@]1(C)[C@@H](OC(C)=O)CC[C@]2(C)[C@H]3Cc4c(cc(-c5cccnc5)oc4=O)O[C@]3(C)[C@@H](OC(C)=O)C[C@H]21;pyropenes;0;0;1
115;Astellolide C;CC1(C)CC[C@H](O)[C@]2(C)C3=C(C[C@@H](O)[C@@H]12)C(=O)OC3;astellolides;1;1;1
116;Rubrofusarin-6-O-beta-(4-O-methylglucopyranoside);COc1cc(O[C@@H]2OC(CO)[C@H](OC)[C@H](O)[C@@H]2O)c2c(O)c3c(=O)cc(C)oc3cc2c1;rubrofusarins;1;0;1
117;(2S,4aR,4bR,6aS,12aS,12bR,14aR)-2,3,4,4a,4b,5,6,6a,12,12a,12b,13,14,14a-tetradecahydro-2-hydroxy-1,1,4a,6a,9,12b-hexamethyl-1H,11H-phenanthro[2,1-b]pyrano[3,2-e]pyran-11-one;Cc1cc(=O)c2c(o1)O[C@@]1(C)CC[C@H]3[C@@](C)(CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]43C)[C@@H]1C2;chevalones;0;1;0
118;Astellolide I;CC1(C)CCC[C@]2(CO)C3=C(C[C@@H](OC(=O)c4ccc(O)cc4)[C@@H]12)C(=O)OC3;astellolides;0;0;1
119;Beauvericin A;CCC(C)[C@H]1OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@@H](Cc2ccccc2)N(C)C1=O;beauvericins;0;1;1
120;Chaetoviridin K;CCC(C)(O)C=CC1=CC2=C(Cl)C(=O)[C@@]3(C)O[C@@]4(O)[C@H](C(=O)O[C@H](C)[C@H]4C)[C@H]3C2=CO1;viridins;1;1;1
121;Astellolide G;CC(=O)OC[C@@]1(C)CCC[C@]2(CO)C3=C(C[C@@H](OC(=O)c4ccc(O)cc4)[C@@H]12)C(=O)OC3;astellolides;1;1;1
122;Enniatin Q;C=C[C@H](C)[C@@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H]([C@H](C)C=C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H]([C@H](C)C=C)C(=O)O[C@H](C(C)C)C(=O)N1C;enniatins;0;1;1
123;Astellolide H;C[C@]1(CO)CCC[C@]2(C)C3=C(C[C@@H](OC(=O)c4ccc(O)cc4)[C@@H]12)C(=O)OC3;astellolides;1;0;1
124;Astellolide D;C[C@]1(CO)CCC[C@]2(C)C3=C(C[C@@H](O)[C@@H]12)C(=O)OC3;astellolides;1;1;1
125;Astellolide E;C[C@]1(CO)CCC[C@]2(C)C3=C(CC[C@@H]12)C(=O)O[C@@H]3O;astellolides;1;1;0
126;Ophiobolin H;CC(C)=C/C=C\C(C)C1CCC2(C)CC3C4/C(=C\CC12)COC4(O)CC3(C)O;ophiobolins;1;1;0
127;mytoxin B;CC(=O)C12CC/C=C\C(=O)OC3CC4OC5C=C(C)CCC5(COC(=O)/C=C(\CCO1)C2O)C3(C)C41CO1;trichothecenes;1;1;1
128;Chaetoglobosin-A;C/C1=C\C(C)C/C=C/C2C3OC3(C)C(C)C3C(Cc4c[nH]c5ccccc45)NC(=O)C23C(=O)/C=C/C(=O)C1O;cytochalasan alkaloids;1;1;1
