SMILES,Mutagenicity
CCCC(=O)/N=c1\sn(C(=O)CCC)c2ccc([N+](=O)[O-])cc12,
Cc1ccc(C#N)cc1,positive
O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4c5ccccc5c1c2c34,positive
COc1nsc2cc(OCC3CO3)ccc12,undetermined
O=C(O)c1c(Cl)c(Cl)c(Cl)c2oc3c(Br)c(O)c(Br)cc3c(=O)c12,negative
CCCCN(N=O)C(=N)N[N+](=O)[O-],positive
CCCON=O,negative
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,positive
OC1C2=C(C3OC3C1O)C1c3cccc4cccc(c34)C1C=C2,positive
O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,positive
c1ccc2c(c1)ccc1ccc3c(c12)CCC3,negative
N#CCCN,positive
Clc1cccc2oc3ccccc3c12,positive
C[C@@H]1C=Cc2c1ccc1c2ccc2ccccc21,negative
CCCCC,positive
Cc1cccc(O)c1,
CCCC(=O)OCc1ccccc1[N+](=O)[O-],positive
BrCc1ccccc1,negative
[N-]=[N+]=NCCC(N)C(=O)O,negative
COc1ccc2oc([N+](=O)[O-])cc2c1N(CCCl)CCCl,negative
CC(C)CCOC(=O)/C=C\c1ccccc1,positive
FC(F)(F)c1ccccc1Cl,negative
Cc1ccc(S(=O)(=O)NN)cc1,positive
FC(F)C(F)(F)F,undetermined
Cc1ccccc1S(N)(=O)=O,positive
Cc1cnc(S)nc1O,positive
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,
c1cc2ccc3cncc4ccc(c1)c2c34,positive
O=C1NC(=O)C(Cl)(Cl)C1=C(Cl)Cl,positive
c1ccc2cc3c(ccc4cccnc43)cc2c1,positive
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,positive
Cc1ccc(N)c(C)c1,
CN(C[C@H](O)CO)N=O,
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,positive
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,
C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,
CC1(C(=O)O)CCCC2(C)C3CCC4(O)CC3(CCC12)CC41CO1,negative
O[C@H]1C=Cc2c(ccc3c2-c2cccc4cccc-3c24)[C@@H]1O,positive
Cc1ccc2c(c1)C(C)C1C(=Nc3ccccc31)N2C,negative
O=C(O)/C=C/c1ccc(Cl)cc1,
CCc1ccc([N+](=O)[O-])cc1,negative
NC(=O)CCCCC(N)=O,negative
O=[N+]([O-])c1cccc2c1ccc1cccc([N+](=O)[O-])c12,positive
CCCCOC(=O)c1ccccc1C(=O)OCCCC,positive
O=C(O)C1Cc2c([nH]c3ccccc23)CN1,undetermined
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CN)C(=O)O,undetermined
NC(CS/C(Cl)=C(\Cl)C(Cl)(Cl)Cl)C(=O)O,negative
O=C(ON(OCc1ccccc1)C(=O)c1ccccc1)c1ccc([N+](=O)[O-])cc1,negative
COc1cccc(N)c1,negative
CCCNC(=O)/C=C/c1ccc([N+](=O)[O-])o1,
O=P1(Oc2ccccc2)OCc2ccccc2O1,positive
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(O)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c2c1O,positive
CN(C)c1ccc(N=O)cc1,
CN(C)N=Nc1ccc(Br)cc1,undetermined
C=C(C)C(=O)OC(C)(C)C,negative
CCc1ccccc1,undetermined
Nc1nc(O)c2nc(O)n(C3OC(CO)C(O)C3O)c2n1,
Nc1ccc2c3c(cccc13)-c1ccccc1-2,negative
CNCc1ccc(CSCCN=C(NC[C@H](O)c2ccc(O)cc2)NS(C)(=O)=O)o1,positive
N#Cc1cc([N+](=O)[O-])ccc1N,negative
Cc1cccc(N)c1N,negative
CCOC(=O)C[C@H](SP(=S)(OC)OC)C(=O)OCC,
Nc1cccc2cccnc12,positive
CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C,negative
N#CCCNCCC#N,negative
CC(C)C=O,positive
Nc1nc2cc(Cl)c(Cl)cc2s1,negative
C=Cc1ccc(OC)cc1,positive
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC21C,negative
Clc1ccnc2ccccc12,negative
COC1=CC(=O)c2c3nc4ccncc4c-3c[nH]c2C1=O,undetermined
O=C1OCC(CCl)=C1Br,
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,
COc1cc2c3c(c1)Oc1c(OC)c(OC)cc4c1[C@H](Cc1ccc(OC)c(c1)Oc1ccc(cc1)C[C@@H]3N(C)CC2)N(C)CC4,positive
CN1CCN(c2ccc3[nH]c(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)nc3c2)CC1,negative
O=C1C=C(S(=O)(=O)O)c2ccccc2C1=O,
Cc1ccc(S(=O)(=O)NC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,positive
N=C(N)S(=O)O,positive
Cc1c([N+](=O)[O-])ccc2ccccc12,negative
CC(=O)ON(OCc1ccc(Br)cc1)C(=O)c1ccccc1,positive
C=CCOC(=O)COCCC(C)C,
Cl[C@H]1[C@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H]1Cl,negative
OC1c2ccc3cc4ccc5ccccc5c4nc3c2C2OC2C1O,
C[C@]12CC[C@H]3c4ccc(O)cc4CC[C@H]3[C@H]1CC[C@@H]2O,positive
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,
CNC(=O)CSP(=S)(OC)OC,positive
CC[N+]([O-])(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,positive
COc1cc2c(c3c(C)cc4ccccc4c13)CCC2=O,positive
CCOc1ccccc1C(N)=O,negative
O=S(=O)(O)c1ccc2cc(Oc3ccc4cc(S(=O)(=O)O)ccc4c3)ccc2c1,negative
CS(=O)c1ccc(Cl)cc1,
CCCCCCCC/C=C\CCCCCCCCN,negative
NCCCNCCCN,positive
NCCNCCO,negative
COC(=O)[C@]12O[C@@]1(C)[C@](O)(C(C)C)NC2=O,negative
CCOS(=O)(=O)OCC,positive
COc1cc(O)c2c(c1)Cc1cc(C)cc(O)c1C2=O,negative
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,
Cc1ccc(OC[C@H]2CO2)cc1,negative
O=[N+]([O-])c1ccc2c(c1)c([N+](=O)[O-])cc1ccccc12,negative
CC1=CC(=O)c2ccccc2C1=O,negative
CCCCCCCCc1ccc(Nc2ccc(CCCCCCCC)cc2)cc1,positive
Cc1ccc(Cl)cc1[N+](=O)[O-],
O=C(c1ccc2c(c1)OCO2)[C@@H]1CO1,positive
CCCC(=O)OC1CCCCC1,positive
C=C1CCC2C(c3c(C)c(O)c4c(c31)C(=O)C(C)C4)C2(C)C,positive
CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(O)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC,positive
CCCCCCCCC=O,positive
CS(=N)(=O)CCC(N)C(=O)O,positive
COc1ccccc1NCSC,negative
O=Cc1cccc(Cl)c1,positive
CCC1=C(c2ccc(O)cc2)C(C)c2cc(O)ccc21,positive
CCCCCCCCn1sccc1=O,positive
CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,positive
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O,negative
c1ccc2cnncc2c1,negative
O=S(=O)(O)OCc1c2ccccc2c2ccc3cccc4ccc1c2c43,positive
O=CC(=O)c1ccccc1,
O=[N+]([O-])c1cc(-c2ccc(O)c([N+](=O)[O-])c2)ccc1O,negative
O=C(OCc1cccc([N+](=O)[O-])c1)c1ccccc1,positive
COC(=O)/C(C#N)=C/c1ccccc1Br,positive
O=[N+]([O-])c1ccc2c(c1)oc1ccc([N+](=O)[O-])cc12,
Cc1c(N=[N+]([O-])c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2C)cc([N+](=O)[O-])cc1[N+](=O)[O-],undetermined
C1CSCN1,negative
O=Nn1cc(CCO)c2ccccc21,negative
Cc1cccc(CN(C)N=O)c1,negative
CC(C)(CO)CO,positive
O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,negative
COC(=O)/C(C#N)=C/c1ccco1,undetermined
COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,positive
Nc1ccc(C(=O)O)cc1,positive
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,negative
O=C(O)/C=C/c1ccccc1,negative
N#Cc1cccc([N+](=O)[O-])c1,positive
COc1cc2c3c(cc4cc5c(cc4c3c1OC)OCO5)N(C)CC2,
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,positive
CCN(CC)c1ccc([N+](=O)[O-])cc1,negative
CCCCON(OC(C)=O)C(=O)c1ccc(C(C)(C)C)cc1,negative
C/C=C(\C)CCl,positive
COc1cc(CC2CO2)ccc1O,negative
Cc1c2ccccc2cc2c3c(ccc12)C(O)C(O)C1OC31,undetermined
COCCO,negative
Fc1cc2ccccc2c2ncccc12,
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,negative
CC1(c2ccc(C#N)cc2)CO1,positive
Cc1ccc(NCCO)cc1O,positive
c1ccc2c(c1)COC2,
N#C/C(=C\C=C\c1ccccc1)c1ccc(F)cc1,negative
COc1ccn(CC(O)CN=[N+]=[N-])c(=O)n1,positive
O=[N+]([O-])c1ccc(Oc2ccc(N=C=S)cc2)cc1,negative
CC(C)C(C)C,positive
c1ccc2nc3c4ccccc4c4ccccc4c3cc2c1,negative
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,undetermined
CNc1ccccc1,negative
O=C(O)C(=O)C(=O)O,negative
c1ccc2c(c1)cc1c3c2ccc2cccc(c23)C1,positive
CC(=O)Oc1ccc2c(c1)OC1(C)OOC21C,positive
CCOc1ccc(NC(C)=O)cc1[N+](=O)[O-],negative
C/C=C1\C[C@@H]2C=C[C@H]1C2,negative
O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)C=CCC4,positive
Nc1ncnc2c1nc(-c1ccc([N+](=O)[O-])cc1)n2-c1ccc([N+](=O)[O-])cc1,positive
ON=C1CCCCC1,positive
COC1=CC(=O)c2c3nc4ccccc4c-3c[nH]c2C1=O,
N=C(N)NNc1ccc(N=NC(N)=S)cc1,
CCc1c2ccccc2cc2c1ccc1ccccc12,
Cc1cnc2c(ccc3c2nc(N)n3C)n1,positive
C=C(Br)C=O,negative
O=[N+]([O-])c1ccnc2ccccc12,negative
Cn1c(N)nc2nc3ncccc3cc21,positive
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,positive
Oc1ccc2ccc3[nH]c4ccc5ccccc5c4c3c2c1,positive
CCCCCCCCCCO,negative
O=[N+]([O-])c1ccc(-c2ccccc2[N+](=O)[O-])c([N+](=O)[O-])c1,positive
Cc1cccc(C(=O)Cl)c1,
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1CCCl,positive
Nc1cccc2cnsc12,positive
COc1c2ccccc2[n+]([O-])c2occc12,positive
COc1cc2c(c3oc4cccc(O)c4c(=O)c13)[C@@H]1C=CO[C@H]1O2,negative
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,positive
CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6O)C(C)(C(=O)O)C5CCC43C)C2C1,negative
O=C(O)CCC(=O)Nc1ccc(Cl)cc1,negative
OC(Cn1ccnc1)c1ccc(CCc2ccccc2)cc1,positive
CCCCOP(=O)(OCCCC)OCCCC,negative
COC(=O)/C(C#N)=C/c1ccc(Br)o1,negative
CC(C)(CO)C(O)C(=O)NCCC(=O)O,negative
ClCc1ccc2ccc3cccc4ccc1c2c34,negative
O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)[C@@H](O)[C@H](O)C=C4,positive
c1ccc2nccnc2c1,negative
N#CC1=Cc2cccc3cccc1c23,positive
CN1CCc2cc3c(c4c2C1Cc1ccccc1-4)OCO3,negative
C=C1CCC2CC1C2(C)C,
N=C(N)NS(=O)(=O)c1ccc(N)cc1,negative
CN(C)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1,negative
CC(C)CCCC(C)C1CCC2C3CC4OC45CC(O)CCC5(C)C3CCC12C,negative
Nc1cc([N+](=O)[O-])c(-c2ccccc2)c([N+](=O)[O-])c1,positive
OCCBr,positive
CC(C)CCCC(C)C1CCC2C3C(OO)C=C4CC(O)CCC4(C)C3CCC12C,positive
C[C@@H](O)CN(C)c1ccc(NN)nn1,positive
Oc1ccc(-c2ccccc2)cc1,positive
CC(=O)/C=C\C1=C(C)CCCC1(C)C,negative
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N(C)C)[C@@H](O)[C@H](C)O1,negative
COc1cc([N+](=O)[O-])ccc1N,positive
C/C=C1/C[C@H](C)[C@](O)(CO)C(=O)OCC2=CC[N@@+]3([O-])CC[C@@H](OC1=O)[C@@H]23,negative
COC1(NC(=O)CSCC(N)C(=O)O)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,positive
CN(C)CCCN1C=CN(C)C1/C=N/O,positive
CC12OOC1(C)c1c(ccc3ccccc13)O2,positive
CN(C)CCNC(=O)c1cccc2nc(-c3ccccc3)oc12,negative
OCCCCl,positive
O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,positive
CC(=O)OC[C@H](O)CO,negative
COCC(=O)O,negative
O=Nc1c(O)ccc2ccccc12,negative
Cc1c(N)cccc1N=Nc1cccc(N)c1C,positive
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,
Clc1ccc(C(Cl)(Cl)Cl)cc1,
CC(=O)c1ccc([N+](=O)[O-])[nH]1,positive
[N-]=[N+]=NCC(O)Cn1ncc2c(N)ncnc21,
NC(=O)c1cnccn1,positive
OC1c2ccc3ccccc3c2C2OC2C1O,negative
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,positive
O=C1CCC(=O)N1c1cc(Cl)c(Cl)c(Cl)c1,positive
CSc1cc(SC)c(N)c(C)c1N,negative
CCN(N)c1ccccc1,undetermined
CCOCCOCCOCC,negative
COP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,positive
CC(C)(C)OOC(C)(C)C,positive
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,positive
Nc1cc2c3c(ccc2c2ccccc12)[C@@H](O)[C@H](O)C=C3,positive
N/C(=N\OS(=O)(=O)O)c1ccccc1,positive
ClCc1cc2cccc3ccc4c5ccccc5cc1c4c32,
O=C(O)C1=C[C@@H](O)[C@H](O)[C@@H](O)C1,positive
Cc1ccc2c(c1)C(C)c1cc(C)ccc1-2,negative
CC(=O)OC1Cc2ccc3ccc4cccc5cc1c2c3c45,
CC(=O)Nc1ccc(N=Nc2cc(C)ccc2O)cc1,undetermined
CNC(=O)NOC(=O)NC,positive
O=S1(=O)CCCO1,
Cn1c(N)nc2c3cnccc3ccc21,positive
O=C1OC(O)C(C(Cl)Br)=C1Cl,positive
Cc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1,undetermined
Nc1ccc(Sc2ccccc2)cc1,negative
CC(=O)N(O)c1ccc2ccccc2c1,negative
CNC(=O)/C=C/c1ccc([N+](=O)[O-])o1,positive
O=[N+]([O-])c1ccc2ccc3c4ccccc4c([N+](=O)[O-])c4ccc1c2c43,negative
O=[N+]([O-])c1ccc2c(c1)oc1ccccc12,negative
CCCCCC(N)=O,positive
CNc1ccc2nccnc2c1C,positive
O=C(/C=C/c1ccc(-c2ccccc2)cc1)c1ccccc1,positive
Cc1c(Cl)cnc2ccccc12,positive
O=C(Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1)C(F)(F)F,
CS(=O)(=O)OCCCCOS(C)(=O)=O,negative
CC(C)(C)NC(=O)/C=C/c1ccc([N+](=O)[O-])o1,negative
CCOC[C@H]1CO1,negative
C1=C[C@H]2O[C@H]2c2cc3ccc4cccc5ccc(c21)c3c45,negative
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,negative
COP(=O)(OC)OC,negative
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1C(O)C3,positive
Cc1ccc2nsc(NC(=O)C(Cl)Cl)c2c1,positive
ClCc1cccc(CCl)c1,positive
O=C(Nc1ccccc1)Nc1snc2ccccc12,negative
CCC(C)(C)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)CC)c1,positive
C1CCC2OCCOCCOCCOCCOC3CCCCC3OCCOCCOCCOCCOC2C1,negative
C/C=C/c1cc(OC)ccc1OC,
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,negative
c1cc2cnncc2cn1,
C/C=C/CC,positive
Oc1ccc2ccc3cc4ccccc4c4ccc1c2c34,positive
C=C(C)C(=O)OCCCCCCOC(=O)C(=C)C,positive
CC(=O)c1ccc2ccccc2c1,positive
